"","transit_time","social_media","game","sleep_time","study_hours","study_time_prefer","study_place_prefer","working_hours","experience","relation","gpa"
"1",95,180,1,7,6,"Morning","At Home;In Library",0,0,"Does not affect",4
"2",140,85,0,9,5,"All are same.","At Home;In Library",18,1,"Negatively",3
"3",8,0,0,7,5,"All are same.","At Home;In Library;While Travelling",12,12,"Positively",3.3
"4",40,70,13,7,6,"Morning","At Home;In Library",20,120,"Positively",3.4
"5",35,180,0,10,2,"Morning","At Home",20,12,"",0
"6",31,75,0,7,5,"Morning","At Home",15,12,"Does not affect",3.3
"7",15,100,0,10,2,"Morning","At Home;In Library",0,90,"Does not affect",0
"8",5,50,22,8,4,"Evening","At Home;In Library",16,132,"Positively",3
"9",30,40,6,6,7,"Night","At Home",20,48,"Positively",4
"10",30,23,2,7,6,"Night","At Home",0,240,"Affects Very Positively",3.95
"11",60,2,0,9,5,"Afternoon","At Home",20,3,"Positively",3
"12",40,90,4,6,5,"Night","At Home",30,14,"Does not affect",3.71
"13",25,35,1,6,5,"Morning","At Home",26,48,"Affects Very Positively",3.85
"14",30,105,30,8,5,"Night","At Home",0,96,"Positively",3.5
"15",40,90,0,5,8,"Morning","At Home",0,60,"Does not affect",4
"16",20,30,10,8,2,"Evening","At Home",0,72,"Does not affect",0
"17",60,30,0,8,5,"Night","At Home",8,45,"Does not affect",3.7
"18",30,40,1,7,5,"Evening","In Library",8,12,"Negatively",3.5
"19",45,70,45,6,7,"Morning","At Home",5,24,"Does not affect",4
"20",10,55,90,8,7,"Night","At Home",6,36,"Positively",3.8
"21",40,10,0,6,7,"All are same.","At Home",4,0,"Negatively",4
"22",40,80,0,5,5,"Morning","At Home;In Library;While Travelling",10,1,"Does not affect",3
"23",40,45,0,8,4,"Night","At Home;In Library",14,12,"Does not affect",2.7
"24",10,180,6,7,5,"Evening","At Home",15,36,"Negatively",3.3
"25",90,40,0,6,7,"Night","At Home;In Library;While Travelling",10,8,"Negatively",3.4
"26",80,90,50,7,6,"Afternoon","At Home;While Travelling",10,12,"Does not affect",3.4
"27",20,170,20,6,6,"Night","At Home",6,0,"Positively",3.9
"28",20,65,40,8,6,"Night","At Home",5,12,"Does not affect",3.9
"29",30,120,80,8,4,"Morning","At Home",9,0,"Does not affect",3
"30",90,160,3,8,6,"Morning","At Home;In Library",4,6,"Does not affect",4
"31",90,15,10,6,5,"All are same.","At Home;In Library;At Work Place;While Travelling",9,0,"Affects Very Negatively",3
"32",15,140,1,9,6,"Night","At Home",8,18,"Affects Very Positively",3.5
